Team_Key,Team_Name,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Points
380.l.67583.t.9,b'\xf0\x9f\x92\x84 Pull out ur Chubb\xf0\x9f\x92\x84',105.98,3,2018,380.l.67583.t.7,b'Hep C-ity All Stars',87.74
380.l.67583.t.1,b'\xf0\x9f\x8c\x8aChadanno\xf0\x9f\x8f\x84',76.68,4,2018,380.l.67583.t.9,b'\xf0\x9f\x92\x84 Pull out ur Chubb\xf0\x9f\x92\x84',113
380.l.67583.t.9,b'\xf0\x9f\x92\x84 Pull out ur Chubb\xf0\x9f\x92\x84',113,4,2018,380.l.67583.t.1,b'\xf0\x9f\x8c\x8aChadanno\xf0\x9f\x8f\x84',76.68
380.l.67583.t.2,b'#TheRealLandlord',116.48,4,2018,380.l.67583.t.10,b'Year of Mitch',136.96
380.l.67583.t.10,b'Year of Mitch',136.96,4,2018,380.l.67583.t.2,b'#TheRealLandlord',116.48
380.l.67583.t.3,b'Herndonkey',154.16,4,2018,380.l.67583.t.4,b'Fat Gagger',123.9
380.l.67583.t.4,b'Fat Gagger',123.9,4,2018,380.l.67583.t.3,b'Herndonkey',154.16
380.l.67583.t.5,"b""Champ's Chosen Ones""",130.94,4,2018,380.l.67583.t.6,b'Sharknadoes',135.56
380.l.67583.t.6,b'Sharknadoes',135.56,4,2018,380.l.67583.t.5,"b""Champ's Chosen Ones""",130.94
380.l.67583.t.7,b'Hep C-ity All Stars',68.42,4,2018,380.l.67583.t.8,b'Doc Y',136.88
