Team_Key,Team_Name,Division,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Division,Opponent_Points
380.l.67583.t.3,Herndonkey,No Division,127.2,6,2018,380.l.67583.t.1,Chadanno,No Division,137.22
380.l.67583.t.2,#TheRealLandlord,No Division,110.36,6,2018,380.l.67583.t.6,Sharknadoes,No Division,111.88
380.l.67583.t.6,Sharknadoes,No Division,111.88,6,2018,380.l.67583.t.2,#TheRealLandlord,No Division,110.36
380.l.67583.t.4,Fat Gagger,No Division,99.28,6,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,172.8
380.l.67583.t.5,Champ's Chosen Ones,No Division,172.8,6,2018,380.l.67583.t.4,Fat Gagger,No Division,99.28
380.l.67583.t.7,Hep C-ity All Stars,No Division,141.3,6,2018,380.l.67583.t.10,Year of Mitch,No Division,161.5
380.l.67583.t.10,Year of Mitch,No Division,161.5,6,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,141.3
380.l.67583.t.8,Doc Y,No Division,108.08,6,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,78.76
380.l.67583.t.9,Pull out ur Chubb,No Division,78.76,6,2018,380.l.67583.t.8,Doc Y,No Division,108.08
380.l.67583.t.1,Chadanno,No Division,158.86,7,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,148.46
380.l.67583.t.5,Champ's Chosen Ones,No Division,148.46,7,2018,380.l.67583.t.1,Chadanno,No Division,158.86
380.l.67583.t.2,#TheRealLandlord,No Division,112.68,7,2018,380.l.67583.t.4,Fat Gagger,No Division,126.84
380.l.67583.t.4,Fat Gagger,No Division,126.84,7,2018,380.l.67583.t.2,#TheRealLandlord,No Division,112.68
380.l.67583.t.3,Herndonkey,No Division,102.78,7,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,142.08
380.l.67583.t.7,Hep C-ity All Stars,No Division,142.08,7,2018,380.l.67583.t.3,Herndonkey,No Division,102.78
380.l.67583.t.6,Sharknadoes,No Division,101.42,7,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,70.92
380.l.67583.t.9,Pull out ur Chubb,No Division,70.92,7,2018,380.l.67583.t.6,Sharknadoes,No Division,101.42
380.l.67583.t.8,Doc Y,No Division,122.3,7,2018,380.l.67583.t.10,Year of Mitch,No Division,97.46
380.l.67583.t.10,Year of Mitch,No Division,97.46,7,2018,380.l.67583.t.8,Doc Y,No Division,122.3
380.l.67583.t.1,Chadanno,No Division,95.56,8,2018,380.l.67583.t.8,Doc Y,No Division,137.62
380.l.67583.t.8,Doc Y,No Division,137.62,8,2018,380.l.67583.t.1,Chadanno,No Division,95.56
380.l.67583.t.2,#TheRealLandlord,No Division,94.1,8,2018,380.l.67583.t.3,Herndonkey,No Division,116.36
380.l.67583.t.3,Herndonkey,No Division,116.36,8,2018,380.l.67583.t.2,#TheRealLandlord,No Division,94.1
380.l.67583.t.4,Fat Gagger,No Division,123.26,8,2018,380.l.67583.t.6,Sharknadoes,No Division,120.12
380.l.67583.t.6,Sharknadoes,No Division,120.12,8,2018,380.l.67583.t.4,Fat Gagger,No Division,123.26
380.l.67583.t.5,Champ's Chosen Ones,No Division,160.06,8,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,139.8
380.l.67583.t.9,Pull out ur Chubb,No Division,139.8,8,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,160.06
380.l.67583.t.7,Hep C-ity All Stars,No Division,101.64,8,2018,380.l.67583.t.10,Year of Mitch,No Division,112.4
380.l.67583.t.10,Year of Mitch,No Division,112.4,8,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,101.64
380.l.67583.t.1,Chadanno,No Division,72.76,9,2018,380.l.67583.t.6,Sharknadoes,No Division,115.2
380.l.67583.t.6,Sharknadoes,No Division,115.2,9,2018,380.l.67583.t.1,Chadanno,No Division,72.76
380.l.67583.t.2,#TheRealLandlord,No Division,156.04,9,2018,380.l.67583.t.8,Doc Y,No Division,90.3
380.l.67583.t.8,Doc Y,No Division,90.3,9,2018,380.l.67583.t.2,#TheRealLandlord,No Division,156.04
380.l.67583.t.3,Herndonkey,No Division,125.96,9,2018,380.l.67583.t.10,Year of Mitch,No Division,171.3
380.l.67583.t.10,Year of Mitch,No Division,171.3,9,2018,380.l.67583.t.3,Herndonkey,No Division,125.96
380.l.67583.t.4,Fat Gagger,No Division,109.62,9,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,100.22
380.l.67583.t.9,Pull out ur Chubb,No Division,100.22,9,2018,380.l.67583.t.4,Fat Gagger,No Division,109.62
380.l.67583.t.5,Champ's Chosen Ones,No Division,87.28,9,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,112.06
380.l.67583.t.7,Hep C-ity All Stars,No Division,112.06,9,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,87.28
380.l.67583.t.1,Chadanno,No Division,142.34,10,2018,380.l.67583.t.4,Fat Gagger,No Division,119.2
380.l.67583.t.4,Fat Gagger,No Division,119.2,10,2018,380.l.67583.t.1,Chadanno,No Division,142.34
380.l.67583.t.2,#TheRealLandlord,No Division,91.1,10,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,90.56
380.l.67583.t.7,Hep C-ity All Stars,No Division,90.56,10,2018,380.l.67583.t.2,#TheRealLandlord,No Division,91.1
380.l.67583.t.3,Herndonkey,No Division,126.36,10,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,86.82
380.l.67583.t.5,Champ's Chosen Ones,No Division,86.82,10,2018,380.l.67583.t.3,Herndonkey,No Division,126.36
380.l.67583.t.6,Sharknadoes,No Division,143.66,10,2018,380.l.67583.t.10,Year of Mitch,No Division,138.3
380.l.67583.t.10,Year of Mitch,No Division,138.3,10,2018,380.l.67583.t.6,Sharknadoes,No Division,143.66
380.l.67583.t.8,Doc Y,No Division,132.5,10,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,144.52
380.l.67583.t.9,Pull out ur Chubb,No Division,144.52,10,2018,380.l.67583.t.8,Doc Y,No Division,132.5
380.l.67583.t.1,Chadanno,No Division,125.38,11,2018,380.l.67583.t.10,Year of Mitch,No Division,130.04
380.l.67583.t.10,Year of Mitch,No Division,130.04,11,2018,380.l.67583.t.1,Chadanno,No Division,125.38
380.l.67583.t.2,#TheRealLandlord,No Division,113.92,11,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,147.38
380.l.67583.t.5,Champ's Chosen Ones,No Division,147.38,11,2018,380.l.67583.t.2,#TheRealLandlord,No Division,113.92
380.l.67583.t.3,Herndonkey,No Division,119.1,11,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,124.84
380.l.67583.t.9,Pull out ur Chubb,No Division,124.84,11,2018,380.l.67583.t.3,Herndonkey,No Division,119.1
380.l.67583.t.4,Fat Gagger,No Division,98.58,11,2018,380.l.67583.t.8,Doc Y,No Division,86.44
380.l.67583.t.8,Doc Y,No Division,86.44,11,2018,380.l.67583.t.4,Fat Gagger,No Division,98.58
380.l.67583.t.6,Sharknadoes,No Division,149.72,11,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,70.58
380.l.67583.t.7,Hep C-ity All Stars,No Division,70.58,11,2018,380.l.67583.t.6,Sharknadoes,No Division,149.72
380.l.67583.t.1,Chadanno,No Division,110.18,12,2018,380.l.67583.t.3,Herndonkey,No Division,127.88
380.l.67583.t.3,Herndonkey,No Division,127.88,12,2018,380.l.67583.t.1,Chadanno,No Division,110.18
380.l.67583.t.2,#TheRealLandlord,No Division,94.94,12,2018,380.l.67583.t.4,Fat Gagger,No Division,97.82
380.l.67583.t.4,Fat Gagger,No Division,97.82,12,2018,380.l.67583.t.2,#TheRealLandlord,No Division,94.94
380.l.67583.t.5,Champ's Chosen Ones,No Division,125.94,12,2018,380.l.67583.t.10,Year of Mitch,No Division,130.98
380.l.67583.t.10,Year of Mitch,No Division,130.98,12,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,125.94
380.l.67583.t.6,Sharknadoes,No Division,115.62,12,2018,380.l.67583.t.8,Doc Y,No Division,106.24
380.l.67583.t.8,Doc Y,No Division,106.24,12,2018,380.l.67583.t.6,Sharknadoes,No Division,115.62
380.l.67583.t.7,Hep C-ity All Stars,No Division,127.92,12,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,174.26
380.l.67583.t.9,Pull out ur Chubb,No Division,174.26,12,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,127.92
380.l.67583.t.1,Chadanno,No Division,90.7,13,2018,380.l.67583.t.2,#TheRealLandlord,No Division,54.68
380.l.67583.t.2,#TheRealLandlord,No Division,54.68,13,2018,380.l.67583.t.1,Chadanno,No Division,90.7
380.l.67583.t.3,Herndonkey,No Division,100.46,13,2018,380.l.67583.t.8,Doc Y,No Division,100.0
380.l.67583.t.8,Doc Y,No Division,100.0,13,2018,380.l.67583.t.3,Herndonkey,No Division,100.46
380.l.67583.t.4,Fat Gagger,No Division,101.52,13,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,152.3
